Тип продукта,Продукт ,Ссылка
Дебетовые карты,,https://www.gazprombank.ru/personal/cards/
,"Умная дебетовая карта ""Мир""",https://www.gazprombank.ru/personal/cards/7579039/
,Премиальная карта Mir Supreme,https://www.gazprombank.ru/premium/mirsupreme2/
,Дебетовая карта с кэшбэком для самозанятых,https://www.gazprombank.ru/personal/cards/7611615/
,Умная дебетовая карта + мобильная связь со скидкой до 30%,https://www.gazprombank.ru/personal/cards/6942197/
,Карта для автолюбителей «Газпромбанк—Газпромнефть»,https://www.gazprombank.ru/personal/cards/5275845/
,Виртуальная дебетовая карта ГПБ&ФК «Зенит»,https://www.gazprombank.ru/personal/cards/7215353/
,Дебетовая Пенсионная карта,https://www.gazprombank.ru/personal/cards/42388/
,Пакет услуг «ГАЗФОНД пенсионные накопления»,https://www.gazprombank.ru/personal/cards/5669807/
,Дебетовая карта «Газпромбанк – ФК «Зенит»,https://www.gazprombank.ru/personal/cards/42389/
,Пенсионная карта Газпромбанка и АО «НПФ ГАЗФОНД»,https://www.gazprombank.ru/personal/cards/42397/
,Дебетовая карта хоккейного клуба СКА,https://www.gazprombank.ru/personal/cards/7573859/
,Индивидуальная зарплатная карта,https://www.gazprombank.ru/personal/page/individual-salary-cards/
,Единая карта петербуржца,https://www.gazprombank.ru/personal/cards/6553559/
,Единая карта Сахалинца,https://www.gazprombank.ru/personal/cards/6414087/
,Карта жителя Вологды,https://www.gazprombank.ru/personal/cards/7546165/
,Карта жителя Нижегородской области,https://www.gazprombank.ru/personal/cards/6486911/
,Карта Оренбуржца,https://www.gazprombank.ru/personal/cards/6680661/
,Карта жителя Хабаровского края «Муравьев-Амурский»,https://www.gazprombank.ru/personal/cards/7568209/
,Карта жителя Самарской области,https://www.gazprombank.ru/personal/cards/7350799/
,Единая социальная карта Свердловской области,https://www.gazprombank.ru/personal/cards/7416419/
,"Лучшая премиальная карта
с программой лояльности «Аэрофлот Бонус»",https://www.gazprombank.ru/premium/aeroflot-bonus/
Кредитные карты,,https://www.gazprombank.ru/personal/credit-cards/
,Кредитная карта с льготным периодом до 120 дней,https://www.gazprombank.ru/personal/credit-cards/7950641/
,Простая кредитная карта,https://www.gazprombank.ru/personal/credit-cards/7827199/
,Кредитная карта 90 дней,https://www.gazprombank.ru/personal/credit-cards/6125247/
,Кредитная карта 180 дней Премиум,https://www.gazprombank.ru/premium/credit-card-180/
,Кредитная карта для самозанятых,https://www.gazprombank.ru/personal/credit-cards/7601141/
Накопительные счета,,https://www.gazprombank.ru/personal/accounts/
,Накопительный счет,https://www.gazprombank.ru/accounts/save-easy/
,«Ежедневная выгода»,https://www.gazprombank.ru/accounts/daily-benefit/
,«Ежедневный процент»,https://www.gazprombank.ru/accounts/daily-percentage/
,«Премиум»,https://www.gazprombank.ru/premium/ns/
,Социальный счет,https://www.gazprombank.ru/accounts/social/
Вклады,,https://www.gazprombank.ru/personal/increase/deposits/
,Вклад «Новые деньги»,https://www.gazprombank.ru/personal/increase/deposits/detail/7582023/
,Вклад «Ключевой момент»,https://www.gazprombank.ru/personal/increase/deposits/detail/7937943/
,Вклад «Копить»,https://www.gazprombank.ru/personal/increase/deposits/detail/2491/
,Вклад «В Плюсе»,https://www.gazprombank.ru/personal/increase/deposits/detail/7476877/
,Вклад «Расширяй возможности»,https://www.gazprombank.ru/personal/increase/deposits/detail/6992387/
,Социальный вклад,https://www.gazprombank.ru/personal/increase/deposits/detail/7889383/
Кредиты,,https://www.gazprombank.ru/personal/take_credit/consumer_credit/
,Кредит наличными,https://www.gazprombank.ru/personal/take_credit/consumer_credit/5004451/
,Кредит наличными под залог недвижимости,https://www.gazprombank.ru/personal/bail/pod-zalog/
,Кредит на авто и другие цели,https://www.gazprombank.ru/personal/avtokredit/5601789/
,Рефинансирование потребительских кредитов,https://www.gazprombank.ru/personal/take_credit/consumer_credit/42164/
,Дачный кредит,https://www.gazprombank.ru/personal/take_credit/consumer_credit/7696035/
,Кредит наличными для бюджетников,https://www.gazprombank.ru/personal/take_credit/consumer_credit/6598389/
,Кредит на образование,https://www.gazprombank.ru/personal/take_credit/consumer_credit/5731755/
,Кредит на газификацию жилья,https://www.gazprombank.ru/personal/take_credit/consumer_credit/6980557/
Инвестиционные продукты,,https://www.gazprombank.ru/personal/page/increase/investment/
,«Комбинированные продукты»,https://www.gazprombank.ru/personal/increase/combo-deposits/
,Комбовклад «Перспективные сбережения»,https://www.gazprombank.ru/personal/increase/deposits/detail/7628113/
,«Программа долгосрочных сбережений»,https://www.gazprombank.ru/personal/page/pds/
,Накопительное страхование жизни,https://www.gazprombank.ru/personal/page/funded-life-insurance/
,Инвестиционное страхование жизни,https://www.gazprombank.ru/personal/page/investment-life-insurance/
,Брокерский счет,https://www.gazprombank.ru/personal/distance/investapp/
,Индивидуальный инвестиционный счет,https://www.gazprombank.ru/personal/page/individual-investment-account2/
,Инвестиционные решения Управляющей компании,https://www.gazprombank.ru/personal/page/asset-management/
,Обмен валюты,https://www.gazprombank.ru/personal/courses/
,Золотые слитки,https://www.gazprombank.ru/personal/page/metal/
,Металлический счет (ОМС),https://www.gazprombank.ru/personal/page/metal-drag/
Автоередитование,,https://www.gazprombank.ru/personal/avtokredit/
,Кредит под залог автомобиля,https://www.gazprombank.ru/personal/avtokredit/6483887/
,Кредит на авто и другие цели,https://www.gazprombank.ru/personal/avtokredit/5601789/
,Кредит на покупку нового автомобиля,https://www.gazprombank.ru/personal/avtokredit/6019259/
,Кредит на покупку подержанного автомобиля,https://www.gazprombank.ru/personal/avtokredit/6018195/
,Кредит на покупку машины в автосалоне,https://www.gazprombank.ru/personal/avtokredit/7090701/
,Кредит на покупку электромобиля,https://www.gazprombank.ru/personal/avtokredit/6399827/
,Кредит на мотоцикл,https://www.gazprombank.ru/personal/avtokredit/6375809/
Ипотека,,https://www.gazprombank.ru/personal/mortgage/
,Ипотека на строительство дома,https://www.gazprombank.ru/personal/take_credit/mortgage/7131239/
,Ипотека на Вторичное жилье,https://www.gazprombank.ru/personal/take_credit/mortgage/6383789/
,Ипотека для IT-специалистов,https://www.gazprombank.ru/personal/take_credit/mortgage/6881595/
,Семейная ипотека,https://www.gazprombank.ru/personal/take_credit/mortgage/144895/
,Дальневосточная ипотека,https://www.gazprombank.ru/personal/take_credit/mortgage/5737909/
,Ипотека на Новостройку,https://www.gazprombank.ru/personal/take_credit/mortgage/5546683/
,Ипотека на дом,https://www.gazprombank.ru/personal/take_credit/mortgage/6650775/
,Кредит под залог недвижимости,https://www.gazprombank.ru/personal/bail/pod-zalog/
Услуги и сервисы,Газпромбанк Мобайл,https://www.gazprombank.ru/mobile/
,Газпром Бонус,https://www.gazprombank.ru/personal/page/gazprom-bonus-plus/
,Страховые и сервисные продукты,https://www.gazprombank.ru/personal/page/insurance-service-products/
,Депозитарные услуги,https://www.gazprombank.ru/personal/depositary_services/
,Счета и переводы,https://www.gazprombank.ru/personal/page/financial-operations/
,Банковские сейфы,https://www.gazprombank.ru/personal/page/safe-deposit/
,Кредитный рейтинг,https://www.gazprombank.ru/personal/credit-profile/
,Отчет о кредитной истории,https://www.gazprombank.ru/personal/page/credit-report/
,Переводы за рубеж,https://www.gazprombank.ru/personal/page/prevodyzarubezh/
,Gazprom Pay,https://www.gazprombank.ru/personal/page/payment-service/gazprom-pay/
,Интернет-банк,https://www.gazprombank.ru/personal/page/online-bank/
,Мобильное приложение,https://www.gazprombank.ru/personal/page/app/
,GPB-i-Trade,https://www.gazprombank.ru/personal/brokerage_service/#tab-2
,GorodPay,https://www.gazprombank.ru/personal/page/gorodpay/
,Открыть брокерский счет,https://www.gazprombank.ru/personal/distance/investapp/
,Брокер-клиент,https://www.gazprombank.ru/personal/brokerage_service/#tab-3
,Дистанционные сервисы,https://www.gazprombank.ru/personal/distance/
,Стать клиентом Газпромбанка онлайн,https://www.gazprombank.ru/personal/page/biosystem/
,Открытый API курсов валют и металлов,https://www.gazprombank.ru/personal/page/openapi/
